sex,country_code,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18
2,748,71172,69861,72600,66420,54931,48411,45012,44768,37541,25333,15145,10253,9412,9157,8342,6311,3822,2157
0,913,6703289,6814220,6592238,5965183,5652127,5824385,6019997,5638829,4617465,3756906,3122748,2553276,2067131,1596420,1077683,663956,357329,168496
1,913,3391528,3442883,3325726,3001475,2841305,2930701,3025968,2823494,2290534,1832994,1495147,1188851,922202,676116,430693,243985,116597,45374
2,913,3311761,3371337,3266512,2963708,2810822,2893684,2994029,2815335,2326931,1923912,1627601,1364425,1144929,920304,646990,419971,240732,123122
0,132,50547,53104,51363,48142,45172,49452,53556,49261,39590,31184,26232,23638,17779,12142,6362,3622,3492,3038
1,132,25590,26954,25956,24070,22835,25388,28013,25988,20795,16663,13412,11052,7810,4997,2333,1076,1123,926
2,132,24957,26150,25407,24072,22337,24064,25543,23273,18795,14521,12820,12586,9969,7145,4029,2546,2369,2112
0,204,1980603,1761499,1561496,1361289,1176436,1005544,840116,695085,574877,472453,386593,308816,235310,171552,117427,76067,39999,19566
1,204,1005136,893263,791529,689151,593996,505499,419848,345116,283372,230969,187543,147935,110817,79798,51024,30915,15937,7103
2,204,975467,868236,769967,672138,582440,500045,420268,349969,291505,241484,199050,160881,124493,91754,66403,45152,24062,12463
0,270,425387,372027,319113,272349,237933,210864,174546,133928,104802,82250,68031,55223,38175,26041,19110,11783,5143,1788
1,270,214803,187821,160810,136460,118082,103865,85705,64776,49869,39243,31956,25783,18657,12877,9227,5686,2437,797
2,270,210584,184206,158303,135889,119851,106999,88841,69152,54933,43007,36075,29440,19518,13164,9883,6097,2706,991
0,288,4233202,4006664,3634468,3248749,2953341,2646178,2360272,2045098,1717512,1468310,1253457,1018486,745187,474002,305584,177190,75954,31800
1,288,2161600,2045927,1855678,1659567,1509779,1353659,1207484,1042555,870080,738307,625511,502579,360401,223933,141414,79248,32507,13403
2,288,2071602,1960737,1778790,1589182,1443562,1292519,1152788,1002543,847432,730003,627946,515907,384786,250069,164170,97942,43447,18397
0,324,2184930,1939744,1749476,1575611,1382161,1150720,909370,704293,545705,427838,348971,292722,239515,186468,118168,65527,32340,12133
1,324,1100192,976668,881222,794999,698963,579357,445710,327375,239727,179902,142800,116745,92265,70175,43878,24627,12412,4558
2,324,1084738,963076,868254,780612,683198,571363,463660,376918,305978,247936,206171,175977,147250,116293,74290,40900,19928,7575
0,384,4296956,3793911,3337469,3005641,2674256,2266403,1862921,1522071,1258117,1006418,784245,625066,495055,367110,232868,130857,61520,21417
1,384,2162225,1906558,1675903,1505362,1333491,1128000,927286,759158,633299,514307,407972,329477,262428,194403,123917,68550,30519,9803
2,384,2134731,1887353,1661566,1500279,1340765,1138403,935635,762913,624818,492111,376273,295589,232627,172707,108951,62307,31001,11614
0,430,764485,697416,643476,579925,496559,404968,345682,308807,262537,213289,169744,134022,103865,76546,49199,31055,16897,6647
1,430,390137,355858,327934,294878,251268,203786,173471,155033,131763,106549,83829,64903,48971,34902,21797,13621,7304,2766
2,430,374348,341558,315542,285047,245291,201182,172211,153774,130774,106740,85915,69119,54894,41644,27402,17434,9593,3881
0,466,3762028,3293289,2909194,2435480,1923776,1526547,1238293,1039592,878319,713222,541247,392093,292581,227850,152507,89774,42656,15328
1,466,1912826,1674173,1478866,1235517,971530,765570,618346,517073,434180,349418,260234,182601,132024,101595,66745,38766,18651,6813
2,466,1849202,1619116,1430328,1199963,952246,760977,619947,522519,444139,363804,281013,209492,160557,126255,85762,51008,24005,8515
0,478,711514,646718,568750,495086,436465,388329,349477,304990,253263,203729,161430,126439,96161,67685,44336,26952,13769,6886
1,478,362399,328704,288403,250796,221063,196681,176963,154305,127646,101729,79404,60968,45340,31231,19150,10761,5300,2525
2,478,349115,318014,280347,244290,215402,191648,172514,150685,125617,102000,82026,65471,50821,36454,25186,16191,8469,4361
0,562,5094685,4257691,3527894,2866806,2283149,1790399,1391083,1078819,884474,739084,595021,502035,397872,291304,201513,115912,49279,16640
1,562,2597585,2165584,1792453,1456822,1161734,913761,699808,506111,409724,355996,281736,248612,202651,150284,100711,52584,21161,6892
2,562,2497100,2092107,1735441,1409984,1121415,876638,691275,572708,474750,383088,313285,253423,195221,141020,100802,63328,28118,9748
0,566,35022483,31201422,27215722,23223312,19291651,15944330,13591570,11823308,10042919,8144121,6372036,5004903,3861605,2747063,1783221,975676,387307,114284
1,566,17934412,15951023,13889565,11826352,9798993,8084265,6888091,5994668,5081793,4095325,3167213,2454066,1868236,1304990,842130,460477,179708,51571
